"Título","Actividad","Temática","Dirección","Teléfono","e-mail","Web","Otros","UAP","Tipo de recurso","Población diana","Zona Accción","Dirección: coordenadas","Modificado por"
"Asasam","Asociacion ayalesa de personas y familiares con enfermedad mental","[""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional"",""Personas cuidadoras""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+de+las+Tres+Cruces%2c+5&locality=Llodio&subregion=%c3%81lava&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=01400&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle de las Tres Cruces, 5"",""Address"":{""Street"":""Calle de las Tres Cruces, 5"",""City"":""Llodio"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""01400"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","944.034.690","info@asasam.org","https://www.asasam.org/",,"[""Aiara"",""Llodio""]","[""Asociación""]",,"Local",,"ANDREA ALVAREZ MARTINEZ"
"Apdema","Asoc. a favor de las personas con discapacidad intelectual de Álava","[""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""landaburu 15, Amurrio"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","688.851.375","responsableocio@apdema.org","https://www.apdema.org/","La asociación ofrece servicios de ocio y tiempo libre de calidad.
Dispone de varias viviendas destinadas a personas con discapacidad intelectual
supervisadas por profesionales los 365 días del año.
Ofrece talleres culturales y diversas actividades durante toda la semana y los fines de
semana.
Hay hogares de vida independiente en Vitoria-Gasteiz y Llodio que se supervisan con
personal profesional:
Apoyo logístico y asesoramiento a familias.
Apoyo psicológico a usuarios y familias.
Atención temprana.
Servicio de participación social","[""Aiara"",""Llodio""]","[""Asociación""]",,,,"ANDREA ALVAREZ MARTINEZ"
"Apafai","Asociación de personas con Autismo y familias de Ayala","[""Infancia"",""Salud mental/Bienestar emocional"",""Personas en riesgo de exclusión social""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Avenida Aiara 7-9, Amurrio"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","614.649.376","apafai.3a@gmail.com","https://www.facebook.com/apafai/","Tiene servicios como los siguientes:
Ocio
Atención terapéutica
Refuerzo educativo
Escuela de familias","[""Aiara""]","[""Asociación""]",,"Local",,"ANDREA ALVAREZ MARTINEZ"
"Adsis"," talleres de sensibilización dirigidos a alumnado a partir de 3º de la ESO.crea espacios donde la juventud puede imaginar y proponer actividades vinculadas a la interculturalidad, promoviendo una conciencia crítica orientada a la transformación social.","[""Juventud""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+Pintorer%c3%ada%2c+27&locality=Vitoria-Gasteiz&subregion=%c3%81lava&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=01001&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle Pintorería, 27"",""Address"":{""Street"":""Calle Pintorería, 27"",""City"":""Vitoria-Gasteiz"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""01001"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","680.259.929","jaione.martinez@fundacionadsis.org ","https://www.fundacionadsis.org/es/araba",,"[""Aiara"",""Llodio""]","[""Asociación""]",,"Provincial",,"ANDREA ALVAREZ MARTINEZ"
"Ayuntamiento de Galdakao - Igualdad","Desde el área de igualdad existen cursos, talleres y jornadas. 
Existe el III Plan para Igualdad de Mujeres y Hombres ","[""Mujeres""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""torrezabal kultur etxea"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","944.010.528",,"https://www.galdakao.eus/planes-igualdad",,"[""Galdakao""]","[""Institucion""]",,"Local",,"PAULA GARCIA CRESPO"
"Colegio de Abogadas y Abogados de Álava",,,,,,,,"[""Aiara"",""Llodio""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Ayuntamiento Vitoria-Gasteiz",,,,,,,,"[""Aiara"",""Llodio""]",,,,,"ANDREA ALVAREZ MARTINEZ"
"Diputación Foral de Álava",,,,,,,,"[""Aiara"",""Llodio""]","[""Institucion""]",,,,"ANDREA ALVAREZ MARTINEZ"
"Itaia emakumeon antolakunde sozialista","Organización socialista de mujeres.
Itaia rechaza el feminismo al considerarlo un movimiento que opera dentro del capitalismo y el liberalismo, y apuesta por el comunismo para acabar con la opresión de las mujeres","[""Mujeres""]",,,,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Erroxape emakumeen elkartea","Asociación de mujeres mayores de Bermeo","[""Mujeres""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Erreten Lameran z/g  PK 115"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,"erroxape@gmail.com",,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Assalam","Asociación de mujeres marroquíes de Bermeo","[""Mujeres""]",,,,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"DIAMOU, emakume Senegaldarren elkartea","Ascociación de mujeres senegalesas de Bermeo","[""Mujeres""]",,,,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Bermeoko Mugimendu Feminista",,"[""Mujeres""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Iraskintza, 14-16"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,"bermeokomf@gmail.com",,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Lagunbarri ","Lagunbarri es un programa dirigido a personas mayores de 65 años de Etxebarri, cuyo objetivo es facilitar su integración en la comunidad y recuperar o mantener su vida social, cultural y de ocio. Está especialmente diseñado para personas que viven solas y se enfrentan a desafíos relacionados con la soledad no deseada, inseguridad para salir solas o necesitan retomar su relación social con actividades ya existentes.","[""Salud mental/Bienestar emocional"",""Salud comunitaria"",""Personas Mayores""]",,,"lagunbarri@harribide.org","https://harribide.org/es/lagunbarri/","Las actividades del programa incluyen:
– Paseos y salidas a espacios exteriores
– Acompañamiento en grupo para actividades de ocio (asociaciones, centro de jubilados, talleres…)
– Acompañamiento individual activo dentro del domicilio: lectura de libros, juegos de mesa, visionado de películas, escucha de música, conversación…","[""Etxebarri""]","[""Proyecto Comunitario""]",,"Local",,"PAULA GARCIA CRESPO"
"Ayuntamiento de Bermeo - Servicio de asesoramiento en prevención de adicciones","Martes, miércoles y jueves. Se trata de un servicio de información, asesoramiento y orientación para las familias. Gratuito y confidencial.","[""Juventud"",""Adicciones"",""Población general""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x4510110892258357394?setLang=es-ES"",""DisplayName"":""Centro Cultural Echea"",""Address"":{""Street"":""Calle Irakaskintza, S/n"",""City"":""Bermeo"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48370"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.4212,""Longitude"":-2.72268}}","675.025.018","bermeoprebentzioa@etorkintza.org",,,"[""Bermeo""]","[""Institucion""]",,"Local","Point (-2.72268 43.4212)","MARINA CIFUENTES GARCIA"
"LEMOAKO HAURRESKOLA",,,,"946.312.108","lemoa.lemoa@haurreskolak.eus",,,"[""Arratia""]",,,,,"CESAR ENRIQUE PINARGOTE GAVILANES"
"Inurtxi","Asociación de mujeres
Sensibilizar en temas de género y de conciencia de una misma. Acoger y derivar a las mujeres que acudan a pedir información. Gestionar el tiempo libre de las mujeres. Participar en la red municipal de asociaciones.","[""Mujeres"",""Salud mental/Bienestar emocional"",""Población general"",""Salud comunitaria""]",,"636.895.743","inurtxi@gmail.com",,,"[""Etxebarri""]","[""Asociación""]",,"Local",,"PAULA GARCIA CRESPO"
"Izaro sub taldea",,"[""Actividad física""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Kai+Bidea&locality=Bermeo&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48370&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Kai Bidea"",""Address"":{""Street"":""Kai Bidea"",""City"":""Bermeo"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48370"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","630.433.498",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Club de Kickboxing","Actividad Arte marcial que desarrolla y mejora la coordinación, flexibilidad y el equilibrio. Con valores altamente educativos y formativos donde l@s practicantes desarrollan su personalidad desde edades tempranas. Reafirmación del autocontrol, constancia y espíritu de sacrificio.","[""Actividad física""]",,"946.179.180",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Club de Atletismo Taraska",,"[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Arene Auzoa, z/g"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Bermeo Fútbol Club",,"[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Camino Matxitxako  “Campo Itxas Gane”"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.186.134","bermeofutboltaldea@hotmail.com","https://www.bermeofutboltaldea.com/",,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Club de Ciclismo","Fundado el 31/07/1950 . Ciclismo.","[""Actividad física""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Calle+de+Erre%c3%b1e+Zubi%2c+20&locality=Bermeo&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48370&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Calle de Erreñe Zubi, 20"",""Address"":{""Street"":""Calle de Erreñe Zubi, 20"",""City"":""Bermeo"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48370"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","658.729.739",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Club de Triatlon Aritzatxu","Triatlón","[""Actividad física""]",,"946.179.180","triaritzatxu@yahoo.es","http://aritzatxu.blogspot.com ",,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Urdaibai Remo","Remo","[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Matxikorta s/n"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.885.349",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Bermeoko Arraun Elkartea","Remo","[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Matxikorta s/n"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.885.349",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Arkuzko Tiroaren  Bermeoko Elkartea",,"[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Arene Auzoa, z/g"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.187.568",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Bermeoko Saskibaloi Taldea","Baloncesto","[""Actividad física""]",,"946.179.180",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Sociedad de Caza, Pesca y Tiro de Bermeo","Fundado el 4 de Julio de 1974. 
Caza, Pesca y tiro","[""Actividad física""]",,"607.307.260","bermeo_ehiza@yahoo.es",,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Artza Bermeo","Pelota vasca","[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Frontón Municipal de Bermeo"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","653.721.392",,,,"[""Bermeo""]","[""Asociación""]",,,,"MARINA CIFUENTES GARCIA"
"Sollube 707 Bermeoko M.T.","Montañismo","[""Actividad física""]",,"676.620.195","info@sollube707.com","https://www.sollube707.com/","de 8 y media a 9 y media los jueves","[""Bermeo""]","[""Asociación""]",,,,"MARINA CIFUENTES GARCIA"
"Judo Club Bermeo","Judo","[""Actividad física""]",,"619.215.891",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Bermeoko H.K. Zalea","	Deportes rurales","[""Actividad física""]",,,,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Xixili Taldea","Actividad físico-deportiva para niñas en la que se realizan ejercicios gimnásicos con diferentes apartados ( aros, pelota, maza, cinta,...) unidos a la música. Al objetivo es el desarrollo de la agilidad, coordinación, flexibilidad, sentido del ritmo y gracia en los movimientos.","[""Actividad física""]",,"946.179.180",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Urdaibai E.T","Balonmano","[""Actividad física""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Arene Auzoa z/g   (Olazabal Emp. 1B - Mundaka)"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","649.013.976",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Club Bermeo Karate","Fundado en 1997. Actividad físico-deportiva en la que se inicia en el aprendizaje y desarrollo de la técnica de dicho arte marcial (ataque y defensa con piernas y piños) además de mejorar y desarrollar la condición física en general y un mayor autocontrol de la persona.","[""Actividad física""]","{""EntityType"":""PostalAddress"",""LocationUri"":""https://www.bingapis.com/api/v6/geoentities?streetaddress=Arene+Auzoa&locality=Arene&subregion=Vizcaya&region=Pa%c3%ads+Vasco+%2f+Euskadi&postalcode=48498&country=Espa%c3%b1a&setLang=es-ES%2ces-es&count=1"",""DisplayName"":""Arene Auzoa"",""Address"":{""Street"":""Arene Auzoa"",""City"":""Arene"",""State"":""País Vasco / Euskadi"",""CountryOrRegion"":""España"",""PostalCode"":""48498"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.179.180",,,,"[""Bermeo""]","[""Asociación""]",,"Local",,"MARINA CIFUENTES GARCIA"
"Muviment lemoa ","Los lunes por la mañana realizan una caminata saludable con la orientadora de actividad física en Lemoa. 
Los miércoles por la tarde en el gimnasio clase dirigida. ","[""Salud mental/Bienestar emocional"",""Actividad física"",""Personas Mayores""]",,,,,,"[""Arratia""]","[""Proyecto Comunitario""]",,"Local",,"PAULA GARCIA CRESPO"
"Proyecto batera ","Acompañamiento emocional a los jóvenes mayores de 12 años, sobre inquietudes emocionales y afectivo sexuales,  Tienen canal de whatsapp 
y atención presencial en Torrezabal Kultur Etxea  ","[""Juventud""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""torrezabal kultur etxea"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","747.480.472",,,"Para la atención presencial, las personas de entre 12 y 17 años pueden acceder al servicio cada quince días en los Topagunes de Aperribai, Plazakoetxe e Indarra, mientras que a partir de los 18 años la atención se ofrece los lunes y martes en la primera planta de Torrezabal Kultur Etxea. Para la atención presencial, es necesario solicitar cita previa, a través del teléfono 747 480 472, del correo electrónico batera@galdakao.eus, o presencialmente en Torrezabal Kultur Etxea, espacios en los que también se puede ampliar la información sobre el servicio.

","[""Galdakao""]","[""Proyecto Comunitario""]",,"Local",,"PAULA GARCIA CRESPO"
"Kukuaren Taldeak ","Espacio dirigido a niños entre 6-7 años hasta los 18 años. Todos los viernes tienen encuentros, al final del curso campamento, y realizan salidas durante el curso. 
Las familias pagan una pequeña cuota anual. 
Relación con Tarrasta Gaztegune de 9 a 11 años
y con Talka mugarri de 12 a 30 años
","[""Infancia"",""Juventud"",""Salud mental/Bienestar emocional""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Acceso a la iglesia 2"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","656.703.422","info@comunidades.org.es",,,"[""Etxebarri""]","[""Proyecto Comunitario""]",,"Local",,"PAULA GARCIA CRESPO"
"HARREBIDE FUNDAZIOA","es una entidad comprometida con el desarrollo comunitario en Etxebarri. Nuestra labor abarca ámbitos como la infancia, adolescencia, juventud, personas jóvenes migradas, personas en situación de exclusión, personas mayores y familias. 
Fundación que lleva proyectos como partekatu, tarrasta, kukuaren taldeak ","[""Infancia"",""Juventud"",""Mujeres"",""Hombres"",""Personas Mayores"",""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional"",""Personas migrantes"",""Ocupación/inserción laboral""]",,"944.261.861","info@harribide.org","https://harribide.org/es/inicio-4/","Lunes a jueves : 09:00 – 16:00
Viernes : 09:00-14:00","[""Etxebarri""]","[""Asociación""]",,"Local",,"PAULA GARCIA CRESPO"
"Tarrasta","espacio de encuentro y crecimiento para chicas y chicos de 5º y 6º de primaria (9 a 11 años), donde, a través del tiempo libre educativo y la educación no formal, se acompaña su desarrollo personal y colectivo de manera integral.","[""Juventud""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Avenida San Antonio 21 (Entrada por Marivi Iturbe) Etxebarri Bizkaia"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","688.881.338","tarrasta@tarrasta.net",,"Lunes, martes, jueves: 16:30-19:30
Miércoles 15:00-19:00
Viernes 16:30 – 20:30
Sábado y domingo: 17:00-20:00","[""Etxebarri""]","[""Proyecto Comunitario""]",,"Local",,"PAULA GARCIA CRESPO"
"Partekatu ","Actividades dirigidas a personas mayores de 60 años, programación mensual, con talleres, charlas, encuentros intergeneracionales..","[""Personas Mayores""]",,"747.498.524","partekatu@harribide.org ",,"El proyecto está dirigido principalmente a personas mayores de 60 años empadronadas en Etxebarri, pero también incluye a todas aquellas personas y entidades que trabajan con este colectivo, así como a personas de cualquier edad interesadas en formar parte de esta red de cuidados comunitarios.","[""Etxebarri""]","[""Proyecto Comunitario""]",,"Local",,"PAULA GARCIA CRESPO"
"Galdakao TEAyuda ","Asociación que trabaja en la inclusión de personas con TEA (trastorno del espectro autista) principalmente en Galdakao,  puntualmente han contactado personas de basauri, igorre…  ","[""Infancia"",""Juventud""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""calle gaztain 4 "",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","663.187.181"," infogaldakaoteayuda@gmail.com  ",,"Realizan talleres y salidas con niños con TEA, tienen un banco de materiales terapéutico que se pueden alquilar. ","[""Galdakao"",""Etxebarri"",""Arratia"",""Basauri Ariz""]","[""Asociación""]",,"Local",,"PAULA GARCIA CRESPO"
"Farmamundi","En Farmamundi desarrollamos proyectos de Cooperación y Acción Humanitaria en países en vías de desarrollo en cualquier parte del mundo y realizamos campañas de Sensibilización y de Educación en España para concienciar a la población sobre la necesidad de garantizar el acceso a los medicamentos a quienes más lo necesitan y, en general, asegurar la salud universal.","[""Población general"",""Salud comunitaria""]",,"946.401.160",,"https://farmaceuticosmundi.org/",,"[""Galdakao""]","[""Institucion""]",,,,"PAULA GARCIA CRESPO"
"BASAURIKO HAURRESKOLA-ETXEKO KUTTUNA",,,,"944.666.228","kuttuna.basauri@haurreskolak.eus",,,"[""Basauri Ariz"",""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"BASAURIKO HAURRESKOLA-ETXEKO SEINE",,,,"944.409.264","seine.basauri@haurreskolak.eus",,,"[""Basauri Ariz"",""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"TXANOGORRITXU BASAURI",,,,"680.138.542","basauri@haurreskolatxanogorritxu.com",,,"[""Basauri Ariz"",""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"MUSIKA ESKOLA BASAURI",,,,"944.020.259","musikaeskola@basauri.eus",,,"[""Basauri Ariz"",""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"BASAURI",,,,"944.287.939","015638aa@hezkuntza.net",,,"[""Basauri Ariz"",""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"BASOZELAI-GAZTELU",,,,"944.288.065","014922aa@hezkuntza.net",,,"[""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"COOPERATIVA BASAURI",,,,"944.492.038","colegiobasauri@colegiobasauri.net",,,"[""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"SOFÍA TARAMONA",,,,"944.494.592","014080aa@hezkuntza.net",,,"[""Basauri Kareaga""]",,,,,"LAURA MARTIN SANCHEZ"
"Cruz roja- Gurutze Gorria ","Organización benéfica, Con amplia gama de servicios,  proyectos como inclusión de personas inmigrantes, programas de soledad no deseada","[""Mujeres"",""Personas Mayores"",""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional"",""Población general""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""BARRIO OLABARRI 11"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.736.262",,"https://www2.cruzroja.es/web/cruzroja/detalle-centro/-/centro/15150","Referente de grupos Rosa, tiene dos grupos: 
- Martes grupo de 14 personas de edad avanzada 
- Viernes cada 15 días, Soledad no deseada, personas mayores 
1 vez al mes al monte, o actividad cultural ","[""Arratia""]","[""Institucion""]",,"Local",,"PAULA GARCIA CRESPO"
"Asociación de mujeres ERLANTZA BERDINTASUN ELKARTEA ","Desarrollo de las mujeres en diferentes ámbitos de la vida: personal, sexual, familiar, educativo, cultural, laboral, etc., posibilitando actitudes, hábitos y comportamientos de automejora y crecimiento personal. Ofrecer programas de formación, autoayuda, culturales, de ocio y tiempo libre, así como programas relacionados con la salud mental y emocional, teniendo en cuenta sus referentes afectivos y familiares. - Fomentar la integración de mujeres inmigrantes y/o pertenecientes a grupos marginados en situación de precariedad o riesgo de exclusión social. Crear una red de apoyo entre mujeres y de crecimiento personal, para llevar a cabo iniciativas y acciones para mejorar la calidad de vida en el entorno en el que se desenvuelven. Desarrollar la sororidad y empoderar a las mujeres en la autogestión de sus vidas, de su salud y sus relaciones","[""Mujeres"",""Salud mental/Bienestar emocional""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Juan Sebastian Elkano 34 5 drcha"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}",,"erlantzaberdintasuna@gmail.com ",," los martes se reúnen en la casa de Kultura Torrezabal, una persona dinamiza el grupo con  finalidad de aumentar los comportamientos de automejora y crecimiento personal, programas relacionados con la salud mental y emocional. ","[""Galdakao""]","[""Asociación""]",,,,"PAULA GARCIA CRESPO"
"Asociación de personas mayores Etxea Anaitasuna","Organizar el ocio y tiempo libre para las personas mayores. Elevar el nivel social, cultural y de convivencia de sus componentes, así como de las personas del entorno.","[""Salud comunitaria"",""Personas Mayores""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Iberluze, 1 A"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","944.666.182","etxeaanaitasuna@yahoo.es",,,"[""Galdakao""]","[""Asociación""]",,"Local",,"PAULA GARCIA CRESPO"
"Asociación de personas mayores Danok Aurrera ","Asociación que lleva a cabo actividades dirigidas a personas mayores","[""Salud comunitaria"",""Personas Mayores""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Aperribai Bidea, 2 bajo"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","669.690.497",,,,"[""Galdakao""]","[""Asociación""]",,"Local",,"PAULA GARCIA CRESPO"
"LAMUZA",,,"{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x9815276604897749222?setLang=es-ES"",""DisplayName"":""CEIP Lamuza HLHI"",""Address"":{""Street"":""Granjabide, 3"",""City"":""Llodio"",""State"":""Álava"",""CountryOrRegion"":""ES"",""PostalCode"":""01400"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.1456,""Longitude"":-2.9644}}","945.187.214","010338aa@hezkuntza.net",,,,,,,"Point (-2.9644 43.1456)","ANDREA ALVAREZ MARTINEZ"
"Ayuntamiento de Bermeo - Social",,"[""Población general""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17075146790053956637?setLang=es-ES"",""DisplayName"":""AYUNTAMIENTO DE BERMEO"",""Address"":{""Street"":""CALLE IRAKASKINTZA, A"",""City"":""Bermeo"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48370"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.4213,""Longitude"":-2.72206}}","946.179.100",,"https://www.bermeo.eus/index.html?L=2",,"[""Bermeo""]","[""Institucion""]",,"Local","Point (-2.72206 43.4213)","ALICIA RODRIGUEZ SANCHEZ"
"Ayuntamiento de Bermeo - Juventud",,"[""Juventud""]","{""EntityType"":""LocalBusiness"",""LocationUri"":""https://www.bingapis.com/api/v6/localbusinesses/YN6306x17075146790053956637?setLang=es-ES"",""DisplayName"":""AYUNTAMIENTO DE BERMEO"",""Address"":{""Street"":""CALLE IRAKASKINTZA, A"",""City"":""Bermeo"",""State"":""Vizcaya"",""CountryOrRegion"":""España"",""PostalCode"":""48370"",""Type"":""Unknown"",""IsInferred"":""False""},""Coordinates"":{""Latitude"":43.4213,""Longitude"":-2.72206}}","946.179.100","antolakuntza@bermeo.eus","https://www.bermeo.eus/index.html?L=2",,"[""Bermeo""]","[""Institucion""]",,"Local","Point (-2.72206 43.4213)","ALICIA RODRIGUEZ SANCHEZ"
"Cruz Roja de Bermeo",,"[""Personas Mayores"",""Personas en riesgo de exclusión social"",""Salud mental/Bienestar emocional"",""Población general"",""Personas migrantes"",""Formación"",""Salud comunitaria"",""Adicciones""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""C/ Muelle Kai Bidea-Erroxape Kaia, s/n - BAJO, 48370"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","946.883.568",,"https://www2.cruzroja.es/",,"[""Bermeo""]","[""Institucion""]",,"Local",,"ALICIA RODRIGUEZ SANCHEZ"
"Asociación de Mujeres MADALEN","Asociación de mujeres de Arrigorriaga que promueve su participación activa en la sociedad.","[""Mujeres""]","{""EntityType"":""Custom"",""LocationUri"":null,""DisplayName"":""Lonbo Aretoa"",""Address"":null,""Coordinates"":{""Latitude"":null,""Longitude"":null}}","619.303.489",,,,"[""Arrigorriaga""]","[""Asociación""]",,"Local",,"LAURA MARTIN SANCHEZ"
